Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Not having any access to the outside world to really get out and enjoy things.;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Getting supplies and reduced in person interactions with family, friends, teachers, and other children;"access to resources; isolation/confinement; access to social support";"accessing resources; isolation/confinement; family separation; access to supports";;"accessing resources; isolation; family separation; access to social supports";;;;;;;
;;;;;;;;;;;
Dealing with his crying;children's behavior ;child's behavior;;children's behavior;;;;;;;
;;;;;;;;;;;
Lack of routines, not being able to go places or see people we miss.;"routine changes; isolation/confinement";"routine changes; isolation/confinement";;"routine changes; confinement";;;;;;;
It is hard to work from home, parent and teach. I at times feel guilt with how much time my children spend on electronics.;"juggling multiple roles; parental guilt; excessive screentime ";"juggling multiple roles; parental guilt; excessive screentime";;"juggling multiple roles; parental guilt; excessive screentime";;;;;;;
Explaining why there is no sports or going outside to play with friends;explaining covid to kids;explaining covid to kids;;explainign covid to kids;;;;;;;
Trying to be patient while working from home and also parenting full time.;"balancing work and parenting; conflicting parental values and actions ";"balencing work and parenting; conflicting parental values and actions";;"balancing work and parenting; conflicting parental values and actions";;;;;;;
Trying to explain what is going on to the children. Having kids stay home and not interact with their friends in person is difficult.;"explaining covid to kids; isolation/confinement";"explaining covid to kids; children's socialization; isolation/confinement";;"explaining covid to kids; children's socialization; isolation";;;;;;;
Not being able to shut off ever. I am constantly thinking either about the work I didn't get done or the activities I'm missing out on completing because I'm trying to balance work and kids at home.;"parental exhaustion; balancing work and parenting";"parental exhaustion; balancing work and parenting; work expectations?";;"parental exhaustion; balancing work and parenting; work expectations";;;;;;;
minimal tasks to utilize their outlet of energy.;"keepting kids/family busy; child's behavior; isolation/confinement";"child's behavior; isolation/confinement; keepting kids/family busy;";;"children behavior; keeping kids family busy; confinement";;;;;;;
Home schooling!;schooling ;schooling;;schooling;;;;;;;
being in the house all day with my son and not having any routine.;"isolation/confinement; routine changes; no alone time? ";"isolation/confinement; Routine changes";;"confinement; routine changes; no alone time";;;;;;;
Virtual learning;schooling ;schooling;;schooling;;;;;;;
Being a caretaker 24/7. There are no breaks since there is nowhere to go besides the grocery store. No other in person adult interaction besides my spouse.;"parenting exhaustion; no alone time; isolation/confinement";"parenting exhaustion; no alone time; isolation/confinement";;"parenting exhaustion; no alone time; confinement";;;;;;;
Being home with all day with a child.;"no alone time; parenting exhaustion; isolation/confinement";"no alone time; parenting exhaustion; isolation/confinement";;"no alone time; parenting exhaustion; confinement";;;;;;;
Working and homeschooling/keeping my son entertained while working;"balancing work and schooling; keepting child/family busy ";"balancing working and teaching; keeping child busy";;"balancing work and schooling; keeping child family busy";;;;;;;
Staying in home more than usual;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Not really ever feeling like you can get a break from parenting. Before COVID, my husband and I could go out to do something fun or relaxing for ourselves (see friends, go golfing, go shopping), but now we're typically with each other 24/7. It would be nice to get solo time again.;"parenting exhaustion; no alone time";"no alone time; parenting exhaustion; isolation/confinement";;"no alone time; parenting exhaustion";;;;;;;
Trying to teach them as well as keep up on my school work and running a household.;juggling mutiple roles ;juggling multiple roles;;juggling multiple roles;;;;;;;
No school and sports/activities.;"school clousre; missed activities ";"school clousre; missed activities ";;"school closures; missed activities";;;;;;;
Being home with them all day long;"no alone time; isolation/confinement";"isolation/confinement; no alone time?";;"no alone time; confinement";;;;;;;
Not getting a break. I am used to them being in school and having quiet days where I can run errands, listen to podcasts, do chores as I want. I am having a hard time not getting time to myself.;"no alone time; parenting exhaustion ";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Not being able to go to the zoo, parks, etc...;isolation/confinement ;isolation/confinement;;confinement;;;;;;;
Telling my children they can’t see their friends and family. My daughter just started going to the YMCA for school one day a week and she had a hard time with not going back.;"explaining covid to kids; school closures";"explaining covid to kids; school closures";;"explainign covid to kids; school closures";;;;;;;
"Working while the kids are here, knowing my 2 year old is getting waaaaay too much screen time, telling the kid ""No I have to do this work thing"" when all they want is some attention from me";"excessive screentime; balancing work and parenting";"balancing work and parenting; excessive screentime; conflicting parental values and actions";;"balancing work and parenting; excessive screentime; conflicting parental values and actions";;;;;;;
I work 8 hours a day and also have to occupy and provide experiences 4 out of 5 days a week for my 4 year old simultaneously...;"keeping kids/family busy; balancing work and parenting ";balancing work and parenting;;"keeping child family busy; balancing work and parenting";;;;;;;
Balancing working from home and trying to educate my children.  It's impossible and I feel guilty in regards to my job and parenting.;"balanciing work and teaching; parenting guilt; work expextations ";"balancing work and teaching; parenting guilt; work expectations; conflicting parental values and actions";;"balancing work and schooling; parental guilt; work expectations; conflicting parental values and actions";;;;;;;
Monotony, trying to fill time with what we have on hand and not do the same thing every day.;keeping kids/family busy;"keeping kids/family busy; isolation/confinement?";;keeping kid family busy;;;;;;;
The isolation.;isolation/confinement ;isolation/confinement;;isolation;;;;;;;
Isolation and trying to make my son do homework;"isolation/confinement; schooling ";"isolation/confinement; schooling";;"isolation; schooling";;;;;;;
Being together so much when we're not used to it.  Keeping kids busy and not picking at each other when they're bored and we both need to work (from home).;"keeping kids/family busy; balancing work and parenting ";"isolation/confinement; keeping kids/family busy; balancing work and parenting";;"confinement; keeping kids family busy; balancing work and parenting";;;;;;;
Providing occupational and speech therapy services for my autistic son and getting him to complete his school assigned work.;"access to support; schooling ";"accessing social supports; schooling";;"accessing supports; schooling";;;;;;;
Supporting the kids in their grief over things they are missing out on.;"children's well-bing; missed experience ";"children's well-being; missed activities";;"children's wellbeing; missed activities";;;;;;;
By far it's that I can't focus fully on work or parenting and that it leaves no time at all to take care of myself or my relationship. Adding onto that, being emotionally present for your child is even more important to help them process a difficult situation and all that comes with it.;"balancing work and parenting; no alone time; conflicting parental values and actions";"balancing work and parenting; no alone time; conflicting parental values and actions";;"balancing work and parenting; no alone time; conflicting parental values and actions";;;;;;;
Demands are coming from work, from my spouse, and also from my child.;"balancing work and parenting; marital conflict?";"balancing work and parenting; coparenting/marital relationship conflict";;"balancing work and parenting; couple conflict";;;;;;;
Balancing;juggling multiple roles;juggling multiple roles;;juggling multple roles;;;;;;;
Schooling, constant need for attention, never any time to myself, tantrums, neediness;"schooling; keeping kids/family busy; no alone time; kids behavior ";"schooling; kids behaviors; no alone time";;"schooling; keeping kids family busy; kids behavior; no alone time";;;;;;;
Trying to keep your kids ensure that they are safe and protected. Helping them believe that everything is going to be okay when we as adults don't know that.;"explaining covid to kids; covid worries; children's well-being ";"explaining covid to kids; uncertainty; children's well-being; covid worries/stress?";;"explaining covid to kids; uncertainty; children's well-being; covid worries";;;;;;;
There is no break, no time away. There is no relief, I have no time to myself, I can’t go anywhere for “me” time and having it at home is impossible.;"no alone time; parenting exhaustion ";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Balancing work hours and caring for my child.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Managing my child with special needs anxiety and need for constant supervision and affection while both parents attempt to work from home full time. There simply aren’t enough hours in the day.;balancing work and parenting;"balancing work and parenting; kids behaviors?";;"balancing work and parenting; kids bhaviors";;;;;;;
No time apart from my child in another location, so I don't feel like I'm truly getting a break from him. Also, by the end of the day I'm way more mentally exhausted from trying to balance working from home and feeling like he's not getting the short end of the stick all the time. I also worry about his social development since he has no peer interaction anymore.;"no alone time; parenting exhaustion ; balancing work and parenting; parenting guilt; child socialization ";"no alone time; conflicting parental values and actions; parental exhaustion; parental guilt; child socialization";;"no alone time; conflicting parental values and actions; parental exhaustion; balancing work and parenting; child socialization; parental guilt";;;;;;;
Learning at home. I am surprised DPI didn't have more direction for schools. Our school took everything they were going to do with children and put it online. It's a lot of work for them that's traditional in a non-traditional environment. I also worry about my children's learning needs during this time. My youngest is Dyslexic and I am concerned she'll lose progress now that her tutoring has been canceled and isn't getting the support she needs from school. My oldest is ADHD and ASD and hasn't gotten any support from the school. He is in 7th grade and in Milwaukee that is the grade the look at to apply and get into high schools. His grade has gotten so much work, on a new platform, have had to learn how to email and find information about the requirements for the week's assignments through multiple locations including emails to me, emails to him, google classroom, packets, and google drive. This has been considerable harder for a students who are different learners and I fear this will create a wider gap for these students.;"schooling; children well-being ";"schooling; child's well-bieng";;"schooling; child's wellbieng";;;;;;;
Hand washing a toddler! Find a single minute to be alone and process.;"no lone time; covid worried ";"covid worries/stress; no alone time; parent well-being";;"covid worries; no alone time; parent well-being";;;;;;;
Hoping my baby doesn’t get sick;covid worries;covid worries/stress;;covid worries;;;;;;;
Trying to get work done while also caring for children who can't entertain themselves, not knowing when child care will be safe and open and trying to teach in virtual school.;"balancing work and parenting; uncertainty; schooling ";"balancing work and parenting; uncertainty; schooling";;"balancing work and parenting; uncertainty; schooling";;;;;;;
Not being able to let him play with friends or all the stuff he's missed out on because of it.;"isolation/confinement; child socialization; missed activities ";"isolation/confinement; child socialization; missed activities ";;"isolation; child socialization; missed actiities";;;;;;;
Teaching the kids about what is happening;explaining covid to kits ;explainign covid to kids;;explaining covid to kids;;;;;;;
Worry about finances.;financial concerns ;financial concerns;;financial and resource concerns;;;;;;;
No time alone or with just my husband;no along time ;no alone time;;no alone time;;;;;;;
Distance learning—it’s been VERY stressful for us. Trying to parent, do remote learning especially for my two youngest, and work from home has been incredibly difficult.;"schooling; juggling multiple roles ";"schooling; juggling multiple roles";;"schooling; juggling multiple roles";;;;;;;
Not going to school, kids not getting intellectual stimulation they need. All together always, never get away from each other.;"school clousure; children's well-being; no alone time ";"school closures; child's well-being; no alone time";;"school and childcare closures; child wellbeing; no alone time";;;;;;;
Not being able to see friends and using technology. It’s awesome but also a pain.;"isolation/confinement; schooling ";"isolation/confinement; Schooling?";;"isolation/confinement; schooling";;;;;;;
Less support from school and outside help (respite providers,etc.);access to support;accessing social supports;;accessing supports;;;;;;;
The most challenging parts of parenting during the pandemic so far for us have been the overall dramatic and abrupt change of our regular life. The first few weeks were especially difficult and our 10 year old had a lot of questions and really had a hard time processing why this was happening. She began to regress in her bedtime routine to a time when she needed a lot more parent attention (frequently getting out of bed for a drink of water, needing her pillow fluffed, whatnot...) so my long days became even longer. Also Distance Learning is a blessing in that it gives us some structure but a curse in that it requires more of my attention than I anticipated.;"routine changes; explaining covid to kids; parenting exhaustion?; schooling; explaining covid to kids ";"routine changes; explaining covid to kids; child well-being; kids behaviors; schooling; juggling multiple roles";;"routine changes; explaining covid to kids; parenting exhaustion; schooling; child wellbeing; kids behaviors; juggling multiple roles";;;;;;;
Balancing teaching my child and being a teacher to 22 of my students at the same time, all while entertaining a 3 year old.;"balancing work and teaching; keeping kids/family busy ";"balancing work and teaching; juggling multiple roles";;"balancing work and schooling; keeping kids family busy";;;;;;;
No breaks. No options for entertainment outside the house like a playground or museum;"no alone time; isolation/confinement";"no alone time; isolation/confinement";;"no alone time; confinement";;;;;;;
Having a child with autism, we are used to access to a variety of supports.  She requires a lot of care, and doing this 24/7 has been a strain.  I know my typically developing children are missing their social outlets, and we've seen some decrease in motivation and work completion.  E-learning is challenging, and supporting them with this new task, on top of working myself and increase in housework (with all of us here) has been a lot to juggle.;"access to support; schooling; juggling multiple roles; parenting exhaustion ";"accessing supports; parenting exhaustion; child socialization; isolation/confinement; schooling; balancing work and teaching";;"accessing supports; parenting exhaustion; schooling; child's socialization; juggling multiple roles; balancing work and schooling";;;;;;;
Sending kids to other parents home and hoping they stay safe;covid worries ;covid worries/stress;;covid worries;;;;;;;
Balancing work and childcare. Never, ever getting a break from the kids- I love them but everyone needs a break that isn't work once in a while. And, not having the usual options I would (public library, museum, parks, etc) for when I am spending time with them.;"balancing work and parenting; no alone time; isolation/confinement";"balancing work and parenting; no alone time; isolation/confinement";;"balancing work and parenting; no alone time; confinement";;;;;;;
Being together all the time, little space to have our own space;no alone time ;no alone time;;no alone time;;;;;;;
Not having any alone time.;no alone time ;no alone time;;no alone time;;;;;;;
Being a parent and a teacher can be a tough balance.  Children act different with their teachers than they do with their parents.;balancing parenting and teaching;balancing parenting and teaching;;balancing parenting and schooling;;;;;;;
Being unable to visit places like the park, baby and me classes, music classes, etc.  We used to go out for errands most afternoons and my daughter loved being in the stroller and it was a nice mental break for me. I also am struggling with never being able to really have a break. My husband is working from home and I am providing the childcare. It truly feels monotonous even though I love spending time with my baby. It’s the same thing every day and I feel a little stir crazy.;"isolation/confinement; no alone time; parenting exhaustion ";"isolation/confinement; no alone time; parent exhaustion?";;"confinement; no alone time; parent exhaustion";;;;;;;
Keeping productive, coming up with things to do, regulating screen time;"keeping kids/family busy; excessive screentime; juggling multiple roles";"keeping kids/family busy; excessive screentime; juggling multiple roles";;"keeping kids family busy; excessive screentime; juggling multiple roles";;;;;;;
We are always together and the kids miss their friends.;"no alone time; isolation/confinement";"no alone time; isolation/confinement";;"no alone time; isolation/confinement";;;;;;;
I have a newborn, so my time that was supposed to be on maternity leave is now spent taking care of the new baby and also educating my 2 kids, preschooler and 1st grader.;balancing parenting and teaching;"balancing parenting and teaching; missed opportunities?";;"balancing parenting and schooling; missed opportunities";;;;;;;
Balancing work expectations with homeschooling two children is next to impossible, despite having significant privilege, work flexibility, and access to technology.;balancing work and teaching ;balancing work and teaching;;balancing work and teaching;;;;;;;
Keeping an only child who is very social happy with social distancing has been very hard.;"isolation/confinment; keeping kids/family busy ";"isolation/confinement; keeping child/family busy";;"isolation; keeping child family busy";;;;;;;
Working while watching young children;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Parenting while being expected to work full-time from home with no support as my partner works during the day. My child wants to be constantly entertained but I’m being pulled in several different directions;"balancing work and parenting; keeping kids/child busy ";"balancing work and parenting; keeping child/family busy";;balancing work and parenting keeping child family busy;;;;;;;
Loss of the in-person school and daycare means parenting is now inter-twined with teaching and that adds more pressure, plus the lack of time since my partner and I work full-time at home now.;"balancing parenting and teaching; no alone time? ";"balancing parenting and teaching; juggling multiple roles";;"balancing parenting and schooling; juggling multiple roles; no alone time";;;;;;;
The most challenging parts were the frustration of being in close quarters and not being able to have private time.;"no alone time; isolation/confinement";"no alone time; isolation/confinement";;"no alone time; confinement";;;;;;;
Feeling stuck indoors;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Finding time to get things done!  Trying to work and parent and run a household full time is a challenge.  Besides trying to watch over and entertain two children while also trying to work, I find the little things diffucult.  We have to plan and make three meals a day instead of everyone eating breakfast and lunch at work/daycare.  We can't take our oldest to the park or to run errands to give him time away from the baby.;"juggling multiple roles; isolation/confinement";"juggling multiple roles; parent well-being; isolation/confinement";;"juggling multiple roles; parent wellbeing; confienment";;;;;;;
The most challenging part is trying to do my full-time job while assisting my children with online learning and emotionally supporting all of us.;"balancing work and teaching; family well-being";"balancing work and teaching; family well-being?";;"balancing work and schooling; family wellbeing";;;;;;;
The most challenging part of parenting is trying to explain why we cannot do some of the things we did pre-COVID.  Some examples of this why my oldest cannot go shopping with my husband and why we cannot visit either of the grandparents or them coming to our house.;"explaining covid to kids; family separation; isolation/confinement ";explaining covid to kids, family separation, isolation/confinement;;"explaining covid to kids; family separation; isolation";;;;;;;
Staying home all day.;isolation/confinemenet;isolation/confinement;;confienment;;;;;;;
Balancing work and childcare with self care;"balancing work and parenting; parent well-being ";balancing work and parenting, parent well-being;;"balancign work and parenting; parent wellbeing";;;;;;;
One of the most challenging part is trying to find activities to occupy my child's day and also try to work from home.;keeping kids/family busy ;keeping kids/family busy;;keeping kids family busy;;;;;;;
Not being able to have my children socialize with other children.;child socialization ;child socialization;;child socialization;;;;;;;
Not getting a break - ever.;"no alone time; parenting exhaustion?";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Working from home and schooling at the same time;balancing work and schooling;balancing work and teaching;;balancing work and schooling;;;;;;;
Juggling parenting and working since I am having my child's nanny work fewer hours to limit her exposure in our home.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Helping the kids understand why we can't go anywhere or see anyone. They're old enough to sort of understand, but it's still hard, especially as the weather becomes nicer. They want to see their friends and go to the park. It's also hard finding time for myself - everyone is ALWAYS at home and we don't have that big of a house, so it's hard to get alone time. The kids are pretty good at entertaining themselves, but they're usually finishing up school at the same time I'm finishing up work and they want to play, leaving little downtime for me unless it's after bedtime.;"explaingin covid to kids; isolation/confinement; no alone time; keeping kids/family busy ";"explainign covid to kids; no alone time; keeping kids/family busy";;"explaining covid to kids; no alone time; keeping kids family busy";;;;;;;
Trying to work, parent, and homeschool at the same time and having two kids of different ages with different needs.;juggling multiple roles ;juggling mulktiple roles;;juggling multiple roles;;;;;;;
Our three year old misses her friends and doesn't quite understand what's going on. She understands enough to occasionally ask heartbreaking questions about her own mortality. She's been talking about how she never wants to die. I am sometimes unsure of how much screentime is too much and have been trying to focus on quality over quantity as they are definitely doing a couple hours a day at this point. I mostly worry about the impact this has on our one year old and that his language development will be delayed. It feels like me and my partner are always cooking and/or thinking about food.  The kids are getting more physical in their play together as the one year old approaches two and I'm terrified we are going to end up in the emergency room due to an accidental injury.;"explaining covid to kids; covid worries; children's well-being; child development; kids behavior??";"explaining covid to kids; covid worries; excessive screentime; child development; kids behavior";;"explaining covid to kids; covid worries; childrens well being; kids behavior; excessive screen time";;;;;;;
Maintaining a demanding work schedule along with having to care for the child at home. Planning far ahead so that one can manage running the household (duties like shopping etc) while maintaining the work schedule and taking care of the kid.;"balancing work and parenting; juggling multiple roles ";"balancing work and parenting;";;"balancing work and parenting; juggling muliple roles";;;;;;;
I have to take on the minority of the parenting and housework because my spouse is working nights now. This is incredibly complicated while also completing school and research responsibilities.;juggling miltiple roles;juggling multiple roles;;juggling multiple roles;;;;;;;
No child care;school/childcare closure ;school/childcare closure;;school and childcare closures;;;;;;;
Keep children away from screen.;excessive screentime;excessive screentime;;excessive screentime;;;;;;;
Trying to do it all.  Work, clean, home school, keep up on my own work.  I can’t keep up.;juggling multiple roles ;juggling multiple roles;;juggling mulitple roles;;;;;;;
It’s exhausting!;parenting exhaustion ;parenting exhaustion;;parenting exhaustion;;;;;;;
Non stop time together;no alone time ;no alone time;;no alone time;;;;;;;
Not having alone time, either to work, do household chores or just for self-care. I need space in order to be the best parent I can be and that's been hard.;no alone time ;no alone time;;no alone time;;;;;;;
not getting space to take a break from parenting.;no alone time ;no alone time;;no alone time;;;;;;;
Not getting any time alone. I get a break from my kids when going to work but never have time completely alone when at home like I used to.;no alone time;no alone time;;no alone time;;;;;;;
HOME SCHOOLING while trying to work a full time job.  The balance is never right and it always feels like one is going without.;balancing work and schooling ;balancing work and teaching;;balancing work and schooling;;;;;;;
balancing work and childcare, missing family and friends, i'm also newly pregnant and not feeling well which makes everything even more difficult.;"balancing work and parenting; family/friend separation; parent well-being ";"balancing work and parenting; isolation/confinement; parent well-being";;"balancing work and parenting; isolation; parent well being";;;;;;;
Lack of structure;routine changes? ;routine changes;;routine changes;;;;;;;
Working with a child in the house and not having moments to myself at all.;no alone time ;"balancing work and parenting; no alone time";;"balancign work and parenting; no alone time";;;;;;;
For sure the most challenging thing is balancing both of our full-time jobs in a house with 4 small children, 2 of which have online schooling every day. We have an au pair living with us, as well. She is a huge help, but it's also one more person in this house with needs and emotions that we need to pay attention to and care about.;"balancing work and parenting; family tension";"balancing work and parenting; family tension";;"balancing work and parenting; family tension";;;;;;;
"Working full time and giving my child what she needs - emotionally, physically, academically...

Also seeing her not being able to spend time with family and her friends is hard. It’s gotten better since we’ve gotten more used to the new normal, but it’s still hard seeing her have to entertain herself and not having anyone to interact with most of the time.";"balancing work and parenting; isolation/confinement";"blancing work and parenting; isolation/confinment";;"balancing work and parenting; isolation";;;;;;;
Having him be stuck in the house and not have interaction with other children;isolation/confinement;isolation/confinement;;"confinement; child socialization";;;;;;;
Balancing work and family demands while staying home;juggling multiple roles ;juggling multiple roles;;juggling multiple roles;;;;;;;
Financial worries as we are both not working as parents, I had (undiagnosed due to lack of tests available) covid 19 for 2 intense weeks + 2 more weeks of fatigue and feeling ill, so that was scary and it burnt out my husband who was trying to do it all without me. I've had setbacks as a phd student unable to complete and focus on my work due to lack of time alone, health concerns, lack of a place to go to get quiet work accomplished.;"financial concerns; parenting exhaustion; work expectation; no alone time; covid worries ";"financial concerns; parenting exhaustion; work expectations; no alone time";;"financial concerns; parenting exhaustion; work expectations; no alone time; covid worries";;;;;;;
Lack of structure provided by daycare;routine changes? school/childcare closure ;"routine changes; school/childcare closures";;"routine changes; school childcare closures";;;;;;;
I have a job that I love that I've already had to deprioritize before the pandemic, and now the career of my dreams is falling further out of reach. Parenting is not challenging itself-- it's more the time and focus that it takes, that's also never enough, so that I'm failing on all fronts.;"work expectation; balancing work and parenting ";"work expectations; balancing work and parenting";;"work expectations; balancing work and parenting";;;;;;;
School and childcare;balancing parenting and schooling; balancing parenting and schooling;;balancind work and schooling;;;;;;;
Kids are bickering more bc they are always together;kids behavior ;kids behavior;;kids behavior;;;;;;;
Working full time while managing the children’s’ remote learning.;balancing work and schooling ;balancing work and teaching;;balancing work and schooling;;;;;;;
Not being able to be social in person with family and friends and do community activities. Summer will be tough if we can not go to the beach or parks.;isolation/confinement;isolation/confinement;;"isolation; confinement";;;;;;;
Working full time from home and making sure each child is completing their required school work.;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
Not enough things to do.  Kids are getting stir crazy.  Home schooling is lacking/disorganized--I wish the schools had more structure.;"keeping kids/family busyk; routine changes";"keeping kids/family busy; routine changes; ";;"keeping kids family busy; routine changes";;;;;;;
Having th kids all day with me. Following me everywhere I go.  try to find a place for me.;no aline time ;no alone time;;no alone time;;;;;;;
I don't believe that we as humans animals are meant to spend extended periods of time alone with our offspring.  This was my strong belief before the pandemic as well, though I rarely sought out extra ways to bring other adults or experiences into our lives.  Now, not having any breaks at all from each other or input from other adults and children is very unnatural and stressful for all of us.;"no alone time; isolation/confinement; child well-being ";"no alone time; isolation/confinement; child well-being";;"no alone time; confinement; child well being";;;;;;;
Money issues. Food insecurity.;financial concerns ;"financial concerns; resource concerns?";;financial and resource concerns;;;;;;;
Being a good parent, spouse and employee.;juggling multiple roles ;juggling multiple roles;;juggline multiple roles;;;;;;;
That my kids aren't getting the education that they would in the classroom.  Online learning is the pits.  My kids all told told me that they haven't learned a thing since we were put on our stay at home order.;schooling ;schooling;;schooling;;;;;;;
Not being able to do activities outside of the house, libraries, museums, parks, Kids in the Rotunda, movies, eating at restaurants, etc. And, not being able to see family. Having a 3 year old and an 8 month old means lots of changes for the children and grandparents aren't able to hold and play with them.;"isolation/confinment; family separation";"isolation/confinement; family separations";;"confinement; family separations";;;;;;;
Listening, respecting personal space, getting enough exercise.;"no alone time?; isolation/confinment; conflicting parental values and actions";"conflicting parental values and actions?; no alone time; isolation/confinement?";;"conflicting parental values and actions; no alone time; confinement";;;;;;;
No respite....no caregivers....It is incredibly guilt-riden focusing on work and not my son's home schooling. I wish i had more energy after a long smd stressful day working from home to fo more with my family- i have guilt on that. Also, i feel guilt that my son misses school, his friends, his teachers, all his activities, going places and he doesn't understand why we can't and i sometimes worry he thinks we're denying him his favorite things.;"parenting guilt; balancing work and schooling; explaining covid to kids ";"parenting guilt; parenting exhaustion; balancing work and schooling; explainign covid to kids";;"parental guilt; parenting exhaustion; balancing work and schooling; explaining covid to kids";;;;;;;
Everyone needs friends, but for a 4 year old it is THE way the learn .  My kid wants me to replace her friends and I have to work and school her and her brother....its ridiculous;"child socialization; balancing work and schooling ";"child soclization; balancing work and schooling";;"child socialization; balancing work and schooling";;;;;;;
Balancing work, chores, parenting, an maintaining sanity;"juggling miltiple roles; parent well-being ";"juggling multiple roles; parent well-being";;"juggling mulitple roles; parent well being";;;;;;;
Supervising distance learning while trying to work remotely.;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
"Balancing a full-time parent and working remotely full-time 7 days a week; inability to have a regular routine due to work schedule; lack of routine overall; regressions and needing me to do nearly everything with her most of the time (e.g., bathroom, washing hands, getting dressed).";"balancing work and parenting; routine changes; lack of structure?; kids behvior ";"balancing work and parenting; routine changes; kids behavior";;"balancing work and parenting; routine changes; kids behavior";;;;;;;
Trying to balance working full-time and parenting full time. Not enough time in the day to do either really well so there is a constant switching of gears.  It's also challenging with the colder/rainy weather and not being able to go do traditional activities (go to a park and play on the playground set, children's museum, zoo visits, seeing friends and relatives).  So we are more limited and isolated in what we can do which causes some stress and boredom.;balancing work and parenting ;balancing working and parenting;;balancing work and parenting;;;;;;;
Trying to divide attention between family and work. I feel like I'm distracted all the time.;balancing work and parenting ;balancing working and parenting;;balancing work and parenting;;;;;;;
"There has been more sibling conflict in our house and that has been hard.  The emotions of each kid comes out in ways that are perfectly designed to irritate the other one.  One needs to sing it out, the other has sound sensitivity.  Both of our kids have had a bit more anxiety as a part of their lives anyway - so this has intensified that as well.  That has meant it's more of an emotional rollercoaster most days and they seek a lot of mama comfort.  Balancing this with getting a bit of downtime or alone time (as the more ""on"" parent) has been key to meeting this need with grace and compassion.  Our youngest wants to cope with sweets and video games - so there's been more conflict over screen time and our efforts to limit it to what seems healthy.  And on-line school for our youngest has also been very challenging, so there is conflict and some stress around that.  It has been important to do a lot of flexing and readjusting.  And being present.  The hardest part about that - personally - has been letting go of what were the last few months of a year-long sabbatical.  With a partner who has a ""full time"" job to adapt into working from home and two kids in virtual school experiences, someone has to be more present during the day.  So sometimes the main challenge with parenting has just been accepting the feelings of loss and frustration of being unable to still nurture some of the professional aspirations that were easier to tend when there were 7-8 hour school days.   But these are smaller concerns, for sure, than the stress that could be present if we did not have work, or were struggling with resource needs, or had jobs that placed us in health risk situations....so I'm very aware of the relativity here.";"family conflict; children's behavior; no alone time; excessive screentime; schooling; routine changes; balancing work and parenting; work expectations; parent well-being;




";"family conflict/tension; kids behavior; child well-being?; juggling mutiple roles; parenting guilt?; routine changes; employment expectations; resource/financial concern; parent well-being";;"family conflict; children's behavior; no alone time; excessive screentime; schooling; routine changes; balancing work and parenting; work expectations; parent well-being;




";;;;;;;
Never having a moment off. Your attention is always about 25% diverted, no matter who’s actually with the kids. And it leaves very little time for our partnership.;"no alone time; marital/coparenting conflict ";"no alone time; martial/coparenting relationship tension/conflict? Or martial/coparenting relationship strain?";;"no alone time; couple conflict";;;;;;;
Anxiety over the health of myself and my family has triggered some old symptoms of postpartum depression and anxiety that have made it harder for me to be the caliber of parent I always strive to be. I have less energy and am sometimes easily distracted by worry over the virus (mostly worried about my husband who is immunocompromised).;"covid worries; parent well-being";"covid worries; parent well-being";;"covid worries; parent wellbineg";;;;;;;
See above;;;;;;;;;;;
Balancing work, virtual learning and family life all at the same time. Lack of breaks has increased exponentially since the pandemic started.;"juggling multiple roles; no alont time ";"juggling multiple roles; no alone time";;"juggling multiple roles; no alone time";;;;;;;
Not going places;isolation/confinement;isolation/confinement;;confinement;;;;;;;
24 hs parenting, not help;"no alone time; lack of support ";"no along time; parenting exhaustion; access to supports";;"no alone time; parenting exhaustion; access to supports";;;;;;;
Spending so much darn time with my family. They are great and I love them, but I have no time to think! I get no time to decide for myself what I want to do. It's tough.;no alone time;no alone time;;no alone time;;;;;;;
Lack of things for kids to do due to apartment living;keeping kids/family busy;keeping kids/family busy;;keeping kid fmaily busy;;;;;;;
Schooling at home. Change of routine.   Kids missing family and friends.;"schooling; routine changes; isolation/confinement";"routine changes; schooling; isolation/confinement";;"routine changes; schooling; isolation";;;;;;;
Having to be 100% responsible for childcare (no daycare or help from family/friends). Being confined to our house and neighborhood without being able to go to playgrounds. The lack of playtime with her peers. A 2-year old doesn't understand these things.;"access to support; isolation/confinement; explaining covid to kids";"isolation/confinement; access to supports; explaining covid to kids";;"confinement; access to suport; explaining covid to kids";;;;;;;
Being cooped up in the home all weekend and having to not see our family in town;isolation/confinement;"isolation/confinement; family separations";;"confinement; family separations";;;;;;;
