Reward Question Data;Codes;;;
"Learning another language with my 5 yr old through his school work. 

Seeing my pre-covid anxieties and over planning tendencies pay off. I had previously gathered resources, activities, and crafts to do with my 5 yr old, and I had started a stash of shelf stable food. This all due to excessive worrying and anxieties about keeping him engaged on non school days, but now I'm grateful for that prep and those days of over-anxiety. 

While stuck at home, we've been able to see and experience more of our 8 month olds milestones. It has been nice for my partner and I and our 5 yr old to be able to interact more with the baby than we would have been able to pre-covid.";"new activities; parenting competence; involved in growth/dev";;;
Being able to actively observe and promote progress in schoolwork.;more involved with children's education;;;
Being with my kids. I got to see my son start to crawl. I truly delight in seeing them more.;"quality time; involved in child's growth/development";;;
Time with family;quality time;;;
More time with kids;quality time;;;
Working with my kids to become resourceful in terms of simple activities we can do for entertainment. Feeling good about how my kids are handling the new routines/restrictions. Feeling proud of the fact that they seem happy and resilient through this.;"teaching opportunity; new activities; child resilience";;;
I did always think I'd homeschool, but chose to enroll my child in daycare and then preschool because having them around all day every day was too much. It's still too much, but it also feels somehow truer to my goals as a parent and vision for what our lives would ideally look like.;"control over learning; spoiling";;;
More time together as a family;quality time;;;
Being together as a family;quality time;;;
getting to spend all the extra time together;quality time;;;
More time with the kids. Getting to know what they actually do in school.;"quality time; more involved with child's education";;;
Community support and seeing the world be more conscious and empathetic of one anothers experiences.; community ;;;
Coming up things to do that are special treats and brighten up the pretty mundane days.;creativity;;;
Getting to spend more time with the kids, life has slowed down;"quality time; slowing down";;;
Extra snuggles and hugs and time together;"affection; quality time";;;
Snuggling with younger children and time as a whole family.;"affection; quality time";;;
More time home together;quality time;;;
Doing things we otherwise would not have time to do, such as projects in the kitchen or outdoors;"new activities; being outside";;;
The most rewarding parts of parenting during the COVID-19 pandemic is spending all my time with my child.;quality time;;;
The time spent.;quality time;;;
Getting to spend time with my kids;quality time;;;
We’ve tried to remind each other (and ourselves) that we’re really very fortunate that neither of our jobs have been changed, we have a great support system of family and friends, and no one we love has become ill. We’re really proud of how are kids are holding up through all of this.;"gratitude; child resilience";;;
Not busy running here and there every night of the week or weekend. Slow down and enjoy the time;"more time; slowing down";;;
;;;;
The hugs and affection and praising because I as a mom am not rushed or crunched for time compared to normal.;affection;;;
Comforting them if they're worried or feeling down.;parenting competence;;;
they constantly tell me they love me and try their best to help me around the house;parent-child relationship;;;
Seeing for my own perspective how resilient and adaptable children are, I talk about it all the time in my work but have not experienced it with my child for any reason yet. I am very fortunate to have a flexible employer who is allowing me to work from home with a young child.  I have been nice to not worry needing to step away from work to spend time with child when needed.;"learning opportunity; child resilience; flexibility";;;
More time to snuggle and talk. We aren’t as rushed!;"affection; quality time; slowing down";;;
Seeing my child happy every day despite the current situation;child resilience;;;
I have gotten to spend dedicated time with the kids and have no excuse to be running around getting things done.;"quality time; more time";;;
Spending more time with them;quality time;;;
Helping her develop - doing more art and planning creative at-home activities;"being involved in child's growth/development; creativity";;;
Being there for my children when they need me;parenting competence;;;
It's been nice to spend so much time together to connect and see more of what they're doing in school.;"quality time; closeness/connection; more invovled in child's education";;;
Despite these frustrations she has been really game to get into doing schoolwork at home, crafts, walks, and anything else we can think up to keep her busy. It is good to see her so resilient.;"child resilience; outside";;;
"Lots of time together, I have a better sense of what happens in my childs’ day because I am there.
Teaching kids about kindness and helping them reach out to homebound elders has been very rewarding.";"quality time; more involved in child's growth/dev; teaching opportunity; community connection";;;
More time together;quality time;;;
being able to spend so much more time at home with my baby;quality time;;;
Seeing my children more-having lunch together, hugs during the day, and being able to help them with school work more than I ever needed to during typical instruction.  Helping them maintain a supportive, loving home and projecting calm and reassurance when the world seems kind of scary and the future is uncertain.  Making sure they are ok to not be ok sometimes, and helping them get outside as much as possible.;"quality time; affection; more involved in child's education; parenting competence; being outside";;;
The same parts that were enjoyable before the pandemic, which is watching them grow and learn. We  spent a lot of time together as a family before, and we spend a lot of time together now.;;;;
I appreciate being able to be with my kids as much as I do. Also, by having two parents at home, we have a bit more flexibility to go play outside and give kids 1:1 time, as compared to solo parenting during summertime.;"quality time; parent-child relationship; flexibility; division of labor";;;
My husband is staying home with the baby more so he's more comfortable parenting than he might have been otherwise;division of labor;;;
more time with my kids overall, being able to be relaxed about daily schedules and let the kids follow their internal clocks, having time to play more games and bike rides and cook/bake together;"quality time; flexibility; shared activites";;;
Seeing every single milestone and little interaction.;being invovled in child's growth/development;;;
Being able to spend extra time with my children. Working from home is hard in productivity, but rewarding being able to see my kids grow.;"quality time; being involved in child's growth/development; spoiling";;;
Seeing her vocabulary expand daily and to watch her learn! It is so great getting to spend all this extra time together as a family. I do love it.;"being invovled in child's growth/development; quality time";;;
The ability to communicate with my son about life and challenges.;teaching opportunity;;;
Uninterrupted time to invest in her and try new things and projects at home.;"teaching opportunity; new activities; quality time";;;
Became closer to child, understood that my child is wonderful;"close/connection; learning opportunity";;;
Togetherness;quality time;;;
Hearing my Kindergartner learning to read, which would have mostly happened at school. Watching them 'produce' their video responses to the teacher, which can be pretty funny. The chance to follow their interests and build those interests.;"being involved in child's growth/development; more involved in child's education; teaching opportunity";;;
Parenting in general is rewarding. We've potty trained our youngest, taught one lid to ride without training wheels, had food taste tests and done all kinds of normal parenting things that are inherently rewarding.;general rewards;;;
Getting extra time together.;quality time;;;
Being with my kids all day!  It was a challenge at first (our district had M-F learning--too much (bc we all were dealing with so much: initial fear, so many changes, older and younger friends and family concerns, shortages, no job for me...and juggling it all was a struggle--and we thankfully, weren't a family that lost both jobs, or got sick (knock on wood) or had someone working the frontlines, or were in a single parent home, or an abusive home, or a low-income...etc etc etc, we are fortunate!!, but it was a struggle for us nonetheless and we had a survey and therefore our district went to T-W-R school only!!! Also, much of the online learning was a bit of a learning curve for us all, but now we have it down.  My kids miss socializing, esp my daughter, and my son is highly uncomfortable doing any screen conversations with peers and teachers, so I worry he isn't getting enough peer time. But being with them, I am able to have them do more chores (cook, laundry, clean) and we play board games more.  We have always done puzzles, so that is the same! We also go for many walks still, but they are slower--- the pace has slowed down, and that is a blessing (and I may not have figured that out--bc the work/life balance was a struggle before Covid, and it seems as though the slowing down has been a blessing...I also learned to Skype with my 8o y.o parents and that has helped too!;"quality time; gratitude; slowing down; teaching opportunity; being outside";;;
Spending lots of time with them.;quality time;;;
Getting to hear the funny things your kids say.;quality time;;;
Being home. I read, do art, get to be with my son and spend time with him. He is thriving. Then again i am a educator.  So teaching one kid compared to 33 at a time is awesome!!! Also teaching online is so much easier.  U don't habe behaviors.;"quality time; child resilience; self-improvement; involved in child's education; less stress";;;
We get to spend time together.  When I am feeling better, we play games, cook together and go for walks.  We never got to do this before as my partner was so tired she she got home from work and my son exhausted from school, therapies and special social skills activities.  WE are really enjoying being together.  I wish my partner could always work from home so she wouldn't be so stressed.  She is much happier now.  OUr son is also much happier and academically thriving and his speech is getting better because he doesn't have to go to school and enjoys us teaching him more then school.;"quality time; new activities; less stress; partner relationship; control over learning; being outside";;;
I love being able to spend more time with my daughter who is otherwise a full time student;quality time;;;
Getting to spend so much more time and see the changes, growth and development happen during the day is really incredible.;"more time together; being involved in child's growth/development";;;
Better understanding of them as individuals and as learners.  Lack of time pressure from external forces (e.g., start of school day) allows us to set our own schedules.;"learning opportunity; more involved in child's education; flexibility";;;
None.;no rewards;;;
The relationship between my kids has really blossomed. It's beautiful to see them learn to play together. My middle child had profound disabilities and can be hard to play with, but the other two found ways and I've loved watching them together.;sibling relationship;;;
Being there to teach my kids new things;teaching opportunity;;;
More time to eat meals and play games.  Biggest benefit is cessation of soccer practice and games, which took an inordinate amount of time away from family time.;"quality time; shared meals; less busy";;;
 Getting a chance to be home with my kids, like a second maternity leave.;quality time;;;
Extra time together doing things we wouldn’t have done before.;"quality time; new activities";;;
I get to spend a lot of time with my son. I adore him!;quality time;;;
Spending extra quality time with my children while they are young!;quality time;;;
Being trapped inside;;;;
Building relation;learning opportunity;;;
Quality time Seeing children's resilience  Finding creative ways to stay busy;"quality time; child resilience; creativity";;;
Less stress around the day to day hustle...things feel easier.  Helping kids figure things out with school, keeping them safe and healthy. We can really focus on being together and not feel pressured to be out doing tons of activities;"less busy; more involved in child's education; parenting competence; quality time";;;
Have the time to really let go of control and appreciate what I have.;"quality time; being present";;;
More time spent together, doing more things as a family together.;"quality time; shared activities";;;
Being together more!;quality time;;;
Seeing how staying at home can be fun again! We are doing more forts, more art projects and more cooking projects!;"new activites; creativity";;;
Time together;quality time;;;
We eat meals as a family, have regular game and movie nights, and aren’t stressed about keeping up with extracurriculars.;"quality time; less stress; shared meals; new activites";;;
Staying home and not expected to be everywhere all the time.;less busy;;;
Watching her blossom and feeling confident in herself.;being involved in child's growth/development;;;
Knowing that they are home safe with me. Spending time with them because they grow so fast.;"parenting competence; quality time";;;
The two children are foster children and we have grew to learn each other's likes dislikes weaknesses and strengths and we build a stronger relationship that has a Everlasting impact on the three of us as a family;"learning opportunity; parent-child relationship";;;
Extra time together;quality time;;;
It is rewarding to be able to spend more time than normal with my child and witness his changes over a short amount of time.;"quality time; being involved in child's growth/development";;;
Being able to educate my own children instead of having to send him to school. Seeing how much my youngest has grown since we started.;"control over learning; being involved in child's growth/development";;;
I haven’t found any;no rewards;;;
Working to make sure my child’s memories of this time are positive;parenting competence;;;
Getting to spend so much tune with my kids;quality time;;;
Being home more! It’s so nice to see my kids more, I’m enjoying co-parenting all day with my partner rather than him doing it solo during the day.;"being home; more time; division of labor";;;
Seeing my kids get along better than I thought Kids helping around the house more and showing more responsibility;"sibling relationship; learning opportunity";;;
Seeing my children grow in their friendship with one another.;sibling relationship;;;
The opportunity to see them come closer as siblings and to get closer to them understanding that we are going through this uncertain time together.;sibling relationship;;;
More family time, less rush;"quality time; less stress";;;
Less distractions;slowing down;;;
One on one time.  Nightly walks more time;"quality time; shared activities; being outside";;;
Being close to them at all times Spending much needed quality time;"quality time; closeness";;;
More creative things;creativity;;;
Being home with my child!;quality time;;;
The positive aspects we think are spending more time together and enjoying life more than we could have done.;"quality time; slowing down";;;
More one on one time and more investment in school/learning.;"quality time; more involved in child's education";;;
Being able to see my kids more due to changed work schedule;more time;;;
The love and time together;"quality time; affection";;;
More time with children;quality time;;;
More family time;quality time;;;
Family time more;quality time;;;
;NA;;;
The closeness i feel with my kids;"closeness; parent-child relationship ";;;
Less time pressure! Nowhere to rush off to! Cuddling up together in our jammies, cooking, eating lots of homemade food.;"more time; affection; quality time";;;
Seeing the kiddos more!;quality time;;;
;NA;;;
Learning more about my children and what makes them...them.;learning opportunity;;;
Being home with my children since I am working from home.;more time together;;;
Being with my son all day;quality time;;;
Watching my children grow and see how independent they really are.  Sharing fun times with them and not having a strict schedule.  Allowing them to make decisions such as what to have for dinner and having them help. Understanding that I don't have to be a perfect parent to have my children love me and be happy.;"being involved in child's growth/development; learning opportunity; quality time; flexibility; teaching opportunity; personal development";;;
Family time/bonding. Meals at home. Playing games as a family. Slow paced daily life.;"quality time; shared meals; shared activities; slowing down";;;
My youngest is now saying Hi Mom and Bye Mom whenever I'm in and out of the house.  He's never really said it this much, if at all before this.  I feel more connected to my children on a day to day basis.;"being involved in child's growth/development; parent-child relationship; closeness";;;
Being able to teach them things your way.;control over learning;;;
I can’t think of anything rewarding about this pandemic other than that we are alive and can stay in our house for at least one more month.;"no rewards; feeling safe";;;
Get to see children around me all the time;quality time;;;
My foster youth was place with me about 3 weeks before the Covid crisis hit. It was a rough transition. Being home bound has been our silver lining. Virtual schooling, virtual family visits and virtual Gateway have removed the biggest irritants from his life & he has already come a long way in his attitudes.It has really given us a chance to all get to know each other as well.;"being home; child resilience; learning opportunity; flexibility";;;
Spending tons of time with my baby;quality time;;;
Not working equals 100% attention on my children;quality time;;;
Being able to witness and see growth both educationally and personally.;"being involved with child's growth/development; more involved in child's education";;;
Spending time with the kids and making sure they do their work;"quality time; more involved in child's education ";;;
Seeing a smile everyday;affection;;;
Pokémon Go walks. Seeing my family more.;"quality time; being outside";;;
Seeing the kids during the day and watching them grow;"quality time; being involved in child's growth/development";;;
That we all have more families meals and Dad is home more to interact here and there.;"quality time; shared meals; father relationship";;;
Seeing and being with my kids all the time;quality time;;;
Before the social isolation started, I felt like we were often running from school to activities and events   Stress has greatly reduced without the hectic rush to everything and the three of us are enjoying more time together.  This amount of non-stop time together will likely not happen again, so I recognize that I need to cherish it.  I get more time to play with them and learn with them.;"more time; flexibility; less stress; quality time; gratitude; learning opportunity";;;
The slow pace of life is addicting - we are getting time together that we don't usually have, so we have time to play, do things around the house, and experience things together in ways we normally wouldn't. We will always remember parts of this fondly, and I hope overall we remember that we did what we could to help the broader situation, built memories and got closer, and worked together to make this all work as well as we reasonably could, while also allowing ourselves to be imperfect.;"slowing down; quality time; new activities; community well-being; making memories; closeness; family resilience";;;
Having all the time in the world for my kids;quality time;;;
Family time;quality time;;;
Endless snuggles from my toddler;affection;;;
I do love that we go outdoors as a family almost each day and I get to see them enjoy nature.  It brings me joy to see them run and play and search out things in the forest, prairie or dog park. I have to admit that Covid-19 has blessed me with some of the most rewarding times of my life.;"being outdoors; quality time; gratitude";;;
More bonding;closeness;;;
More active interaction with my son.;quality time;;;
Getting to watch him learn first hand!;more involved in child's education;;;
Knowing I am doing all I can to keep my kids safe and healthy;parenting competence;;;
Being able to spend more time with my kids then normal. Some people who are able to work are gettimg a higher pay rate. Not me but others ive heard;quality time;;;
I have been working less and playing more with my child.;"more time; quality time";;;
None. I think we function better with structure and routine. You cannot have any of that while being stuck at home 24/7.;no rewards;;;
Staying together more;quality time;;;
Hugs and smiles Laughter and memories made Family time Seeing your child happy Affection/Bonding between brothers (siblings kids);"affection; quality time; making memories; child resilience; sibling relationship";;;
Being with your kids;quality time;;;
Fun memories;creating memories;;;
Spending quality time with my kids /as a family has been nice.;quality time ;;;
Spending time with family;quality time ;;;
We are all appreciating opportunities to be outside much more;being outdoors;;;
Spending more quality time with my family.;quality time ;;;
I'm watching my kids grow and learn which is nice.;being involved in kids growth/development;;;
Lots of cuddles.;affection;;;
It's been rewarding spending so much time at our land and getting stuff done around the house as needed.  I don't get as much done as I would like because my husband is essential, but he has been taking off more time and spending it with us.;"being home; quality time";;;
Spending more time with my child.;quality time;;;
Just being together as a family and have that be the main focus.;quality time ;;;
Spending more time together;quality time;;;
Different activities to bond over (i.e. reading our first chapter book together, videos of story time from the fire chief, from a farmer, from a friend, etc);quality time ;;;
quality family time together;quality time ;;;
Watching them learn new things;being invovled in child's growth/development;;;
Seeing my child have fun with the school work;more involved in child's education;;;
More time together, more play time,;quality time;;;
I don't know....I guess just finding new ways to spend time together;quality time;;;
Getting involved in my children's education. Getting to spend more time with them;"more involved in child's education; quality time";;;
spending more time with my children. My children spending a lot of time together- they're becoming buddies.;"quality time; sibling relationship";;;
Watching my daughters learn to play together and support each other more.;sibling relationship ;;;
Spending more time together, baking, cooking, going for walks together, exercising;"quality time; being outside";;;
I love watching my kids grow and learn. I am connecting with them on a level that I could not do while working full-time from home. We are just able to enjoy each other.;"being involved in kids growth/development; closeness; quality time";;;
Getting to spend more time with my kids and watching tgem blossom.;"quality time; being involved in child's growth/development";;;
Seeing my children all day long. Building our relationships;"quality time; parent-child relationship";;;
Watching my kids learn and grow;being involved in child's growth/development ;;;
Spending more time with kids, getting to see the 3 of them Bond and interact all day;"quality time; sibling relationship";;;
Eating with my kids more often. Watching them learn new skills. Being together more.;"shared meals; being involved in child's growth/development; quality time";;;
Nothing.;no rewards;;;
Helping to calm the kids fears.;parenting competence;;;
Being wity my daughter on her first birthday when I normally would have been working.;being involved in child's growth/development;;;
Spending everyday with my son and neicr;quality time;;;
More family time;quality time;;;
The hugs and smiles from my children.;affection;;;
Spending so much time with my family;quality time;;;
The times when it’s been nice weather and the kids actually can be kids and run,play and actually smile and laugh;"being outside; child resilience";;;
Extra interruption free time.;slowing down;;;
Being there all day to play with and love my child.;"quality time; affection";;;
The time I have spent with them at home and seeing how they truest are during all aspects of their day. I said before, I have respected them so much more now.;"quality time; learning opportunity";;;
More time with our immediate family.;quality time;;;
N/a;no rewards;;;
Watching my children learn and adapt so quickly and readily to this different lifestyle;Child Resilience;;;
Spending time with kids throughout the day while working from home.;quality time;;;
Spending a lot of time with my kiddo. Things like hide-and-seek, or getting down to the ground with him to play with him, or reading lots of books together. I also get to teach my kids math and phonics. He greatly improved his reading and math skills. I cook more meals (no more fast food or take outs), so every meal is a sit down one with nutritious food instead of instant ones. We bake and cook together in the kitchen too, it's lots of fun.;"quality time; more involved in child's education; teaching opportunity; shared meals";;;
Enjoying and being more conscious of the little moments we have together such as dinner at the table with the family.;"quality time; shared meals; slowing down";;;
Has really increased my feelings that I am a good and capable parent.  We are doing so much better then I expected and my kids are thriving.  Most of my friends who I felt had things more together in regular life are falling apart and the fact that thus far I feel like things are good is really affirming for my parenting abilities.  I also never thought that given my disabilities that I could parent full time so seeing that with limited help from my spouse my kids are ok is also a good feeling.  Being with my kids full time lets me really see who they are and they are awesome little people.;"parenting competence; child resilience; learning opportunity; personal growth";;;
Nothing;no rewards;;;
More time together;quality time;;;
getting to see how the kids learn...both most rewarding and most frustrating;"more involved with child's education; spoiling";;;
Being able to watch my children learn more than I normally would and watching them form stronger bonds than they normally would have been able to;"more involved in child's education; sibling relationship";;;
finding joy in the small things;gratitude;;;
More time with family;quality time;;;
I am getting to spend a lot more time with my middle schooler.;quality time;;;
More family time;quality time;;;
I spend more time with my children;quality time;;;
More 1on 1;quality time;;;
More time together;quality time;;;
Increased time as a family;quality time;;;
We are home and not rushing to extra curricular activities.  It is nice to eat meals with the whole family.  We are also more physically active.  My children developed some new interests (learning Spanish and appreciating nature) on their own and have taken more responsibility in caring for our home.;"being home; more time; shared meals; activities; being outside; child resilience";;;
Spending time together.;quality time;;;
My sons are becoming better friends;sibling relationship;;;
Being with my children Knowing we are safe at home and they are healthy;"quality time; parenting competence; feeling safe";;;
The relationship between us has grown;parent-child relationship;;;
We are spending more time talking to each other than we normally do.;quality time;;;
Completing school assignments, knowing you taught your child. Making sure your child is safe and healthy.;"control over learning; more involved in child's education; parenting competence";;;
Spending time at home with my family.;quality time;;;
watching my children bond since they are all home;sibling relationship;;;
more time with my kids;quality time;;;
Spending more time with immediate family;quality time;;;
Spending more family time.;quality time;;;
we have had a lot of fun;quality time;;;
Having more time to slow down and be a family unit, rather than the constant traveling that is part of our usual routine.;"slowing down; quality time; more time";;;
I think being able to spend this time together as a family without outside distractions has been the most rewarding.;"quality time; more time";;;
More quality time together. More time in general.;"quality time; more time together";;;
Getting to see you kids more and have more time in the day to do things together;"quality time; more time";;;
Baking activities;new activities;;;
Being confined to our home;being home ;;;
Nothing.;no rewards;;;
Snuggles;affection;;;
;NA;;;
Experiencing the successes in education.;involved in child's education;;;
Watching how amazingly our kids are responding to the stress and uncertainty of this situation. Seeing how committed our kids are to their school work. Having more time together for all of us - parents and kids - to talk, be silly, and hug.;"Child Resilience; involved in education; quality time; affection";;;
Spending time together as a functional family and learning together.;"quality time; learning opportunity";;;
Getting to teach and find new ways of doing it and find new things to do;"teaching opportunity; new activities";;;
I get to be with my children 24/7 so I get to see and experience everything with them.;"quality time; involved in growth/development";;;
More time and influence in daily life;"more time; teaching opportunity";;;
Kids always feeling safe with us as their parents.;parenting competence;;;
Being to spend more time with your children;quality time;;;
More snuggling;affection;;;
Time with kid;quality time;;;
The extra time and fun!;"more time; quality time";;;
Do the parent, homework and job responsibilities.;parenting competence;;;
Being with the people I love most;quality time;;;
;NA;;;
More quality time;quality time;;;
seeing kids more often;quality time;;;
Good times fun laughs and memorable moments;"quality time; creating memories ";;;
Getting regular access to my family as I'm working from home.;quality time;;;
Hugging my children at night and being together with them.;"affection; quality time";;;
that I get to spend more time with my child.;quality time;;;
Able to muti tasks with so many kids.;parenting competence;;;
Having my husband home to care for our son.;division of labor;;;
The most rewarding part has been spending more quality time with my kids and husband. I love doing simple activities together, like cooking and yard work. Before Covid19, we were fully engaged in soccer, gymnastics, baseball, work travel and so on. This has allowed us to step off the treadmill for a little bit. This is not to say that the pandemic hasn't been hard and stressful in many other ways. But there are some silver linings for sure.;"quality time; more time; slowing down; gratitude";;;
I get to spend more time at home with my baby.;quality time;;;
When my son finished with his school assignments on time without tears.;;;;
My 9 year old is loving cooking and baking! It is also nice to not be running around to my various evening work meetings and the handful of kids activities.;"new activities; more time";;;
More time to spend together. Less stress about running around. Knowing we have full days on the weekends to just hang out and be together without having to deal with other commitments.;"more time; less stress; quality time";;;
More time together;more time;;;
Non;no rewards;;;
Seeing him all day and every day. Growing and learning together.;"quality time; learning opportunity";;;
The extra snuggles and time to play games/watch movies together.;"affection; quality time";;;
Spending more time with my son.;quality time;;;
Minimal distractions keeping me from my child.;slowing down;;;
Slowed pace, time together;"slowing down; quality time";;;
Slower pace and more time together.  We are not competing with social schedules.;"slowing down; quality time; more time";;;
Getting that more leisurely schedule with them, spending time with them without constantly running here and going there.  Back to the basics, which I think is a good thing for our society as a whole.;"flexbility; quality time; slowing down/being present";;;
Quality time with my children and time to create ever lasting memories.;"quality time; making memories ";;;
Being able to spend more time with eachother;quality time;;;
Seeing all the milestones;being involved in growth/development;;;
Getting to spend more time and quality time with my family.;quality time;;;
no;no rewards;;;
The times when my kids play with each other and build the sibling bond. I truly feel for parents and kids who are only children.;sibling relationship;;;
Extra time spent together;quality time;;;
Others recognizing the struggles of parents.;;;;
Spending more time with the kids since I cannot work during this time.;quality time;;;
More time with the kids;quality time;;;
I suppose being in charge and showing my daughter how to stay focused on what is immediately in front of us today. Role modeling compassion for family and friends and the larger community, role modeling how to not dissolve in the face of adversity. Finding beauty in the face of the crisis by taking scenic drives and seeing things that we didn't see before like the beauty of nature, rabbits in our yard, birds, the evening sky.;"teaching opportunity; parenting competence; community involvement; family resilience; being outside";;;
Knowing that my children are safe and healthy at home with me and my husband.;feeling safe;;;
Being able to spend time with my daughter and tune in to her personality.;"quality time; learning opportunity";;;
Getting to spend so much time bonding with my newborn and my spouse as we start our family has been an unforeseen reward during all this. While the state of the world is causing a lot of anxiety and uncertainty, being able to spend as much time together as we have has no doubt brought us all closer together.;"quality time; closeness";;;
Less stress due to work stress so I’m less stressed in general More down time so more free time with kids;"less stress; more time; quality time";;;
Spending more quality time together without worrying about tasks or other commitments;"quality time; more time";;;
Not being influenced by any external factors and being purely together as a family;quality time;;;
Spending more time together and watching them learn and grow.;quality time being involved in growth/development;;;
Being able to spend more time at home and being more involved in their day-to-day virtual learning process.;"quality time; involved in education";;;
As frustrated as I have been, my children have handled sheltering in place way better than I ever could have asked for or expected. They definitely have had some frustrations but have truly amazed me with their coping strategies.  The pandemic has brought us closer as a family, not only because of the physically needing to stay home but also because the pace of life has slowed down.  We have gone from being a family who was always on the go and always in a rush to get from one place to the next, to one that has only had to balance virtual learning and family/friend video chats.  I think that is the biggest reward, the slowing down.;"Child Resilience; closeness; more time; slowing down";;;
Less busy pace Seeing my kids Less requirements outside of the house Dad’s home with us Big siblings home with the 4 yr old;"more time; quality time; partner; sibling relationship";;;
I get to see my son more, which is nice;quality time;;;
Sometimes it is hard for me to imagine that my daughter used to go to daycare all the time. Despite the difficulty of trying to work while she is home, I love seeing her, even for brief moments throughout the day. Sometimes I take a break over lunch to put her down for her nap, or I'll take a walk with her in the afternoon when she gets up, if I don't have meetings and the weather is nice.;"quality time; being involved in growth/dev; being outside";;;
The new traditions that we have started because of the stay at home order.;new rituals/routines;;;
Spending so much quality time with my kids.;quality time;;;
Spending time with my kids and husband.;quality time;;;
;NA;;;
Getting to be more involved with school;more involved in education;;;
Slowing down.;slowing down;;;
Spending more time with each other and more free time;"quality time; flexibility";;;
Seeing my kids more everyday;quality time;;;
My kids home;quality time;;;
Spending time with my family.;quality time;;;
More time taking walks with the kids.;"quality time; being outside";;;
Spending time with kids;quality time;;;
Teaching my 5 year old to read. Seeing my children play nicely together and extra project time together as a family.;"teaching opportunity; sibling relationship; quality time";;;
I get to spend more time with my child and see how she handles structuring her days with virtual school, chores, and other activities. I’ve gotten to see how responsible she can be. We’ve also spent more time outside, which we’ve both enjoyed.;"quality time; learning opportunity; being outside";;;
Family dinners have become the norm.;shared meals;;;
The time together.  Our daily walks have helped me connect more with my child.  My child is very positive and helps me stay that way too.;"quality time; being outside; closeness; parent-child relationship; being outside";;;
State shutting down;;;;
;NA;;;
Quality of time;quality time;;;
Having everyone home at the same time and getting to spend time together.;quality time;;;
Seeing my child learn.;involved in education;;;
Not having to drive anywhere.  More downtime and family time.;"more time; quality time";;;
more family time - more games as a family both indoors and outdoors.;quality time;;;
Creating memories;creating memories;;;
;NA;;;
Still looking for a few of those;no rewards;;;
Lower external stress;less stress;;;
Cuddling and sharing...undivided (or less divided) attention.;"affection; quality time";;;
Seeing how much my children are still learning!;"involved in education; Child Resilience";;;
Walks.;being outside;;;
Slowing down;Slowing down;;;
None.;no rewards;;;
I'm getting closer to my son and am teaching him new things.;"closeness; teaching opportunity";;;
Having extra time together;quality time;;;
Having this time to catch things you wouldn’t have before due to the busy busy busy lifestyle;more time;;;
Spending time with kids doing art projects, cooking, taking care of the dog;quality time;;;
Seeing my son continue to grow and develop, uninhibited by this;"involved in growth/development; Child Resilience";;;
Being around them;quality time;;;
Extra time together has been invaluable;quality time;;;
The extra family time and time spent doing activities like cooking and spending time together;quality time;;;
Spending more time with the kids although this is also challenging because sometimes you have competing work demands or are simply exhausted, and the your time with them can't be high-quality. For example, before we could have very high-quality time with them since it was dedicated time for family.;"quality time; spoiling";;;
The bond between the kids. They are getting valuable time together they they wouldn’t have gotten if the oldest was at school.;sibling relationship;;;
The most rewarding parts of parenting now is the fact that we are spending so much more time together.;quality time;;;
taking walks with them;"quality time; being outside";;;
Being able to spend more time with her;quality time;;;
Learning more about my son!;learning opportunity;;;
Being able to spend time with my kids and eat dinner together every night.  We have spent a lot of quality time together being at home.;"quality time; shared meals";;;
Getting to spend more time with my daughter & husband;quality time;;;
spending time playing games, arts and crafts, seeing them interact with each other, watching them play creatively, the resilience my children show everyday when things get stressful.;"quality time; Child Resilience";;;
Becoming closer to my children;closeness;;;
Being able to spend more time with my kids.;quality time;;;
Getting more one on one time;quality time;;;
Seeing my kids relax!;less stress;;;
Doing activities as a family.;quality time;;;
The time spent together and watching him learn;"quality time; involved in education";;;
Having all my kids home and knowing they are safe;"being home; feeling safe";;;
Watching him grow, watching him learn, seeing the wheels turning in his head when I show him how to do something, and then he attempts to do the same thing, and him not being afraid to ask for help, but also get upset and know that I am a safe place to showcase those emotions and that I will comfort him and encourage him to try again until he succeeds (in which case he laughs like a loon and shows me what he did). Prior, I was able to see glimpses of this during our shorter periods together, but now I get to see that process sometimes from start to finish, and it's really cool.;"involved in growth/development; involved in education; learning opportunity; parenting competence";;;
Increased bonding and quality time with kiddos;"closeness; quality time";;;
More time to snuggle;affection;;;
;NA;;;
Getting to spend more time with my child. Watching them grow. Finding new activities to do with each other.;"quality time; involved in growth/development; new activities";;;
Getting to spend time with them even when they drive me nuts  It's rewarding seeing them grow up and.seeing there stepping Stones in life and being a more detailed part of that;"quality time; involved in growth/development";;;
Watching my children learn and trying to learn new things together (like a new language!).;"involved in learning; new activities";;;
More games and family art projects.;quality time;;;
The hugs, the kisses, and the random I love yous and when my daughter randomly tells me I'm the best mommy ever.;affection;;;
I am with them all the time. I am learning more about them everyday;"quality time; learning opportunity";;;
At least knowing some of the things they’re learning. It’s hard to teach.;"involved in education; spoiling";;;
Watching how strong my kids are! And not to mention, smart.;Child Resilience;;;
My kid hasn't died. And I'm teaching her to cook.;"safety; teaching opportunity";;;
Spending the present moments with both of my children and friends;quality time;;;
Enjoying more time watching/helping her homeschool.;involved in education;;;
Not rushing around trying to fit in every activity. Spending more time with our kids.;"flexibility; quality time";;;
Family time;quality time;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
