idx,ID,"How has the quarantine/social distancing affected you? Describe in as much detail as possible."
423,377755,I am retired and don't drive. I started using grocery delivery about a year ago. Sometimes I have restaurant delivery. My son comes over two times a week; to take out the garbage and later to return the garbage cans to the garage. I have always talked on the phone a lot with family and friends. In general my life hasn't changed much.
424,511910,I am homeschooling my kids. My college age daughter has moved home.
425,307932,"Can't go anyplace really as stores and businesses are mostly closed and whatever essential businesses that are still open have cut hours and it's advised to not leave the house to shop wherever possible. Getting sick of just sitting in the house day in and day out and just doing work and pretty much nothing else. Nevermind the constant barrage of bad news daily, which I've taken to blocking websites during parts of the day to just get away from it."
426,869533,I miss my friends and family that don't live with me. I had to cancel travel plans. I miss going out to restaurants and the movies.
427,774664,"I work from home anyways so I haven't been too much affected by social distancing. My husband and I haven't been visiting friends lately in person but we are keeping in touch via email and phone calls. It's still cold here where we live so this time of year we don't do much socializing anyways since we don't go to bars. If this pandemic situation goes on into May and June, we will become more affected by not socializing with friends and family."
428,864152,It has affected me by causing fear and stress. I am 66 and high risk and I am afraid to go to the store for necessities.
429,392422,"I am working from home, so I don't have to get up as early to drive to work, which is nice. I can work easily from home, as I spend a lot of time on phone calls even when I'm in my office. I've saved quite a bit of money because my husband and I are eating at home. He's been in charge of getting groceries and never comes back with exactly what I ask for because it's nearly impossible to find chicken and some other meats, but I'm making do. He and I have both lost a bit of weight because we aren't eating out. I'm working out more, too, which is great - I gain about an hour and a half not driving. We haven't been socializing with others, of course, but we live on a cul de sac and occassionally talk to neighbors while everyone is in their yard. My husband in a real estate agent and can't work right now, so we can pay our bills but money is tight, particularly with the market going down so much. We don't want to pull money out given it's bound to go up."
430,906448,"I work much less, I sleep more, I stay at home more, I worry about my mom more, I play video games and watch tv more, I exercise more."
431,407183,I just feel worried all of the time because of this. I'm to the point that I struggle to get through each day. It has been a nightmare.
432,600330,not affected me. Still need to do my job as fire lieutenant
433,570118,"I AM WORKING OUT OF MY HOME AS IS MY HUSBAND. WE ARE FOLLOWING THE GUIDLINES CLOSELY AND ONLY GO OUT TO THE GROCERY STORE ONCE DRUING THE WEEK. WE WALK IN A PARK AND KEEP 6 FEET AWAY FROM OTHERS OUT WALKING. IT IS GETTING OLD BUT WE FIND WAYS TO KEEP OURSELVES DURING THE DAY ON WORK RELATED ACTIVITY AND AT NIGHT PLAY GAMES, READ, WATCH TV, CALL FRIENDS AND FAMILY."
434,723315,I can not go to the store or any where else for that matter/ states on total lock down so we are confined to the house.
435,468085,"I'm retired so it really hasn't affected me much, although staying at home all the time gets a little boring. The only time we leave the house is for groceries 1 time a week and only 1 of us goes. We switch off. We've been doing this for 2 1/2 weeks already."
436,199043,"Have to constantly be aware how close you are to people, can't go to a friend's house and just hang out and talk, can't hug my daughter's or grandkids, can't go to the grocery shopping without worrying about getting sick. Curfew in our county, can't go out past 10pm or out before 6. All stores close around 7. Parks are closed so can't take walks with my dogs."
437,743519,I am required to work at home for my job and I take care of my 2 sons at home now since their school and daycare were closed. My part-time job closed so I don't have the additional income. I cannot take my sons to their school or sports events. Several of my appointments were cancelled. We no longer go out to eat.
438,460713,"It has put me a bit more on edge, especially since I live with 2 diabetics, I would hate if I was the one to get them sick, so I stay in like we are supposed to."
439,484529,It has affected me in regards to constantly going to the market for items that everyone hoarded. Therefore I am risking exposure to the virus because I need food and paper products.
440,154454,Activities curtailed. More care needs to be taken when among others. Otherwise fine.
441,192191,i cant go where id like to i enjoy going out doors and playing sports and working on projects
442,434324,"I can't find a place for out next meetup. I am the VP of the KY Proud Boys. It's gonna have to be at a park or something. All bars, restaurants are closed on the inside. Also we close earlier at work. I still work the same hours though."
443,364997,"It hasn't affected me too much at all because recently I've had few social contacts and mostly stayed at home during my spare time. I guess I'm a little less inclined to go to the store & shop and stuff, that's about it, for now."
444,553525,"it has been difficult for me to go outside the house now. i have not been able to meet with my friends, some family members and co workers"
445,321320,not much really - I still go to work everyday and come home. the only difference is that we only shop once a week now and get what we can for the coming week. we stay home for the most part outside of work.
446,822318,"It hasn't. I'm already a recluse due to my medical condition - I rarely even leave my house except for medical appointments. I can go many days without seeing, hearing, or getting anywhere close to another human."
447,282031,Mostly it's made things more frustrating and upsetting for me. It makes me feel much more like something is real and is about to affect me. It makes me worried and bored. I've gotten too focused on watching the news since I have little else to do which just frustrates me even more. I would just like this whole thing to be over.
448,414913,"I am really unaffected, my family is home and safe, we have enough supplies. We used to go shopping or dining out but we don't anymore"
449,793097,It hasn't really affected me much. I'm a big introvert and usually stayed home and to myself most times. Th eonly thing that changed is my wife usually is the social butterfly and her being cooped in the house is driving her insane.
450,908768,The quarantine has not affected me too much. I just practice social distancing as much as possible.
451,931137,it makes no difference at all.
452,201649,I am at home with my two grandchildren. Normally they would go to school and I would go to work. I have not left my property in two weeks. I have seen no one except my children and grandchildren who also live on the property.
453,955313,"It hasn't affected me that much. I already worked from home before the epidemic took hold, and I rarely left the house anyway. I have a lot of social anxiety, so I generally avoided people and going places already. I had planned on visiting my mom last week, but I decided not to, to avoid possibly spreading anything to her."
454,919405,I have to work from home every day now. I no longer go outside for anything except to do laundry. When I go outside I do my best to avoid any people and practice social distancing. I wash my hands frequently.
455,765013,"I'm a Dental Hygienist and all offices are closed in my state in order to help prevent the spread of the virus. I work in two offices, in one office my boss has me come in alone on Mondays to do administrative work. I just started working in my second office a few weeks ago. Because of my situation I am not eligible for unemployment. So aside from being paid for 3 hours on Mondays and MTurk I have no income currently. I'm trying to not leave the house unless absolutely necessary, especially since I have Asthma so I'm at a bit of a greater risk of getting the virus and my area is a hot zone for the virus. Thankfully I have a wonderful husband and pets so I am not lonely. I'm able to talk to people online and by phone so I don't feel isolated. I just really miss working. It just all feels so surreal."
456,675868,Not much. I didn't go many places to begin with except take my kids to school daily and run errands on Fridays. I do miss being able to go places on the weekends with my family whether its to a museum or even just the library. I know its the right thing to do though to help my state.
457,979343,"Other than being stuck in the house, it hasn't really affected me. I still work from home for 8-9 hours per day. I still spend most of my time with my wife and kids. I don't get to see my friends and family, but we've been talking to them through video chats to stay in touch."
458,281096,I'm incredibly stressed out. Our governor has enacted many closures and we are doing better than most states. Not having my quiet time during the day when my child is normally at school is stressful. We are practicing social distancing but some neighbors are not and it's stressful explaining to my son why he can't be out when those children are.
459,364786,"I have less contact with people, friends, and family
I go out less
I stay home more
I am more careful about hand washing and sanitation
I feel a bit more isolated and stressed out, but mostly am doing fine"
460,588536,My mom started having symptoms earlier this week. I came home to take care of her. I have to do everything around the house and take care of her since she is isolated in her room while we await the test results. I will not be going anywhere as I might have coronavirus too. I miss seeing my boyfriend and friends but we need to stay apart until this is over.
461,532753,Not too much except in the area of shopping for personal needs. I was already a bit of a hermit. I dislike large crowds and would be perfectly happy working as a lighthouse keeper or living in an isolated cave/cabin in the woods as long as I had broadband internet.
462,898140,
463,674864,"Since I'm a hermit anyway, the sheltering in place order hasn't really affected me all that much since it's what I typically do. When I do have to go out in public, I make sure I stay at least six feet away from other people and I make sure to wash my hands thoroughly when I first get in a store and last thing before leaving."
464,866078,I get lonely and bored. I am a social person and it has been difficult.
465,244612,I'm mostly bored.
466,259408,My kids are out of school for the rest of the year and many other things.
467,308920,"I am on furlough, so no work interactions. I have self quarantined in 2 houses, mine and my girlfriends. I ride my bike daily for exercise which allows easy social distancing. Unemployment will keep me financially stable so that is not of concern."
468,810726,"I don't go any where I stay ,people call to see if I need anything when they go out.I live in a rural area , where it is mostly farmers ,So we just don't get out .I stay on the farm and take care of it now , I have been working from home for employee , so I do stay busy"
469,186510,"Very little. I have been working at home and acting as my wife's caregiver for the last 4 years, so there is really not much in the stay at home orders and other things around COVID-19 that is unusual for us. The only differences I've seen so far is that there's much less traffic, and some items have been in short supply in the stores.

The care I provide my wife is on a four-hour schedule so our times for those events have not changed. We get up and go to bed at the same times and keep the same daily regimen. My work is largely the same - there was a surge in activity as we made changes last week but things are now quieting down.

I feel a bit of anxiety about the quarantine, just because of the relentless bombardment of news about it. Whenever possible I avoid a lot of news coverage, but my wife is addicted to it."
470,128022,"I miss my friends a lot. I feel a bit more isolated. I miss my job and the income. My husband is still working, but under more stress. I worry about my family becoming ill. I have had more time with my children and more time to clean and do things around my home and yard."
471,546327,"I have all of my kids at home full time now so it is stressful. My husband works in an essential job function, so he is still going to work. Our schedule is off because we don't have certain places or times that we have to be places."
472,281484,I work remotely from home. Work hours hasn't changed. Only the location. I interact less with the team I manage due to not being at the same location. I only go out for grocery but I find other means to occupy my free time. I don't necessarily feel bored or restless although I do miss spending time with my family and friends.
473,569155,I'm working remotely from home but my work is a lot slower due to technological issues. I feel cramped and irritable. I don't go out and socialize anymore and I'm starting to feel irritated texting people.
474,884694,I have to work from home. Thatâ€™s the only way that I have been affected by this.
475,993365,"The quarantine has affected my job and social life. I am now currently working from home, whereas before I was in an office. I currently do not have much of a social life as I am at home almost always, except to go out to purchase necessary items. I feel less happier and more worried than before. I feel great uncertainty as to when this entire ordeal would be over, and the country and the rest of the world will go back to the way things were before. I am more worried now than at the beginning, and I feel the situation is more severe than I had previously believed."
476,535782,Not much- we already worked from home and homeschool our kids. My daughter was in preschool one day a week and now we don't go to that but that's not that big of a change; barely noticeable. When my husband and I go on a date we sit in the car in the parking lot instead of going in.
477,340960,"My son's school is cancelled. I'm a single parent so he and I are isolated/social distancing at home together.
As of now, I'm not working. We're trying to figure out a way to work from home but, I'm not hopeful that will happen.
I'm worried about money and how long this situation will last"
478,672135,"I go out a lot less, I only go out for work or when I need groceries. I can no longer go out to the stores and shop.
I am sleeping less, it takes me more time to fall asleep, I wake up often during the night and it takes me a long time to go back to sleep.
I constantly feel worried about money and having enough to last while the pandemic is still going on. I worry about my family not having money and falling behind on bills. I worry about the stores not having the essentials for our meals.
I spend most of the day reading and watching the news and worrying about what is going on and what could possibly happen."
479,412483,My wife is a grocery store manager. The quarantine has caused me some stress because she now has to work long overnight shifts due to people panic buying as a result of the quarantine. It's been very hard for me to adjust to this.
480,757088,I have to work remotely from my home. I have two young children and it is highly stressful to juggle work responsibilities and taking care of kids at home.
481,111965,I am scared because so many new cases are growing out of control.
482,117248,"I miss going to the Y for yoga and other exercise classes. I miss going to church for book group, Bible study, and worship services. Grocery shopping is more stressful due to the lack of stock."
483,786970,I am pretty much a homebody and I don't go out very often so in general social distancing hasn't drastically changed my life. But I miss being able to go to my neighborhood bar on the occasions I do want to get out. I am also a little wary when I go to the grocery store because it can be difficult to maintain the 6 foot minimum recommended distance between myself and other in that setting.
484,279722,I just have been going to less places. A lot of places are shut. They only place I have been has basically been the Dollar General and a Farm Market. I bought toilet paper and crackers at Dollar General. I got a pretzel and bananas at the Farmers Market.
485,652456,"It has made me much more suspicious of other people and avoid them much more, even people like my neighbors who I really trust. I have stayed at home for exactly 14 days today, only leaving to get my grocery pick up orders. I have been cooped up with my kids who are now out of school, and trying to learn how to homeschool them as I work at home as well, which is very draining and stressful."
486,122154,I work from home by default so no real change for me
487,438221,"Outside of work or the grocery store, we don't go anywhere. We are stuck in the house all the time. It's getting a little old. Fortunately my work has not been affected by the quarantine."
488,347659,"I am very worried because my husband and I are both older adults, and my husband especially has some chronic conditions. We are trying to stay home except for grocery shopping but even nervous having to go out to do that, and when we do, the stores are out of many things."
489,314457,"The quarantine has not personally affected me at all, I have not left my home at all in the last year and a half, so no change there. The quarantine has affected me due to the shut down of the economy though, my financial state is critical because of this."
490,776260,I have lots of stress and go to the store in a p95v mask and spray all of my groceries down with alcohol. I worry about finanaces and health since my daughter and I are vulnerable.
491,471162,"Yes, I can't see my daughter and my 3 grand-daughters. I actually don't see anyone unless I do grocery shopping."
492,272743,"It hasn't affected me much at all, it's just a matter of remembering to do it."
493,214412,Iâ€™ve made more money.
494,623399,"I am holding sessions with patients by phone, not in person.
I haven't found items at stores due to hoarding.
I am spending most all of my time, when not at work, at home."
495,358713,It is much harder to go to grocery/pharmacy stores and stay the 6 ft distance from people. Also is it has been an inconvenience not having restaurants and the gym open. I worry about my husband who has a compromised immune system due to his medication and worry that I may bring it home to him if I go out anywhere. So I have been staying home. I can no longer go to my job at the college but am glad I am getting paid leave
496,942062,I am going out less.
497,559463,"I have an underlying lung disease, so although the outbreak in my area is just starting, I have reduced my movements greatly in the past two weeks."
498,392873,I am home now and am self quarantining. I canceled a trip
499,132452,
